shujuku,order_instanceid_val,order_login,close_time_utc_ms__gte,symbol,position_ticket,swap,fee,open_time_utc_ms,deal_ticket,source,login,volume,order_ticket,close_price,close_time_utc_ms,instance_id,action,commission,digits,open_price,profit,account_mode
1,MT4_1,1012,1778379836000,,,,,,,,,,,,,,,,,,,
1,MT4_1,197036,1778379836000,,,,,,,,,,,,,,,,,,,
1,MT5_1,880000,1778379836000,,,,,,,,,,,,,,,,,,,
0,MT5_1,880000,1778379836000,BCHUSTcent,1045088,-8.39,0,1778838442887,529387,mt5,880000,0.07,1045270,377.95,1779194989034,MT5_1,0,0,2,434.83,-398.16,2
1,MT4_1,1070,1778379836000,USDCNH,69852,0,0,1778664579000,139705,mt4,1070,4,69852,6.78984,1778664599000,MT4_1,0,0,5,6.79192,-12008.76,0
1,MT4_1,1098,1778379836000,BTCUSTcent,71265,0,0,1780572312000,142531,mt4,1098,0.01,71265,63531.55,1780572333000,MT4_1,1,0,2,63479.45,-51.06,0
1,MT4_1,12072,1780981351000,GBPUSD,71601,0,0,1780981338000,143203,mt4,12072,1,71601,1.33527,1780981351000,MT4_1,1,0,5,1.33492,-35,0
